file_name,vertices,edges,m,lambda,density,time_ms,time_s,process_id
dataset/parlamento.net,10,45,30,0.3,11.200000000000001,1521.261591999064,1.521261591999064,10421
dataset/parlamento.net,10,45,30,0.6,36.00000000000001,2312.791799999104,2.312791799999104,10424
dataset/parlamento.net,10,45,30,0.7,54.00000000000001,2322.7499710010306,2.3227499710010306,10425
dataset/parlamento.net,10,45,30,0.2,5.6,2362.6088320015697,2.3626088320015697,10420
dataset/parlamento.net,10,45,30,0.5,23.0,2779.5504970017646,2.7795504970017646,10423
dataset/parlamento.net,10,45,30,0.4,16.6,2806.5497140014486,2.8065497140014486,10422
dataset/parlamento.net,10,45,30,0.4,16.6,2991.7232949992467,2.9917232949992467,10421
dataset/parlamento.net,10,45,30,0.1,-3.2333333333333334,4013.793430000078,4.013793430000078,10419
dataset/parlamento.net,10,45,30,0.5,23.0,4644.795535001322,4.644795535001322,10421
dataset/parlamento.net,10,45,30,0.7,54.00000000000001,4658.873835000122,4.658873835000122,10424
dataset/parlamento.net,10,45,30,0.8,72.00000000000001,4688.237329999538,4.688237329999538,10425
dataset/parlamento.net,10,45,30,0.3,11.200000000000001,5099.253799002327,5.099253799002327,10420
dataset/parlamento.net,10,45,30,0.5,23.0,5147.249712001212,5.147249712001212,10422
dataset/parlamento.net,10,45,30,0.6,36.00000000000001,5163.688747001288,5.163688747001288,10423
dataset/parlamento.net,10,45,30,0.2,5.800000000000001,6696.481091999885,6.696481091999885,10419
dataset/parlamento.net,10,45,30,0.4,16.6,6902.777314000559,6.902777314000559,10420
dataset/parlamento.net,10,45,30,0.9,90.00000000000001,6931.7961359993205,6.9317961359993205,10425
dataset/parlamento.net,10,45,30,0.6,36.0,7034.489330002543,7.034489330002543,10421
dataset/parlamento.net,10,45,30,0.8,72.00000000000003,7042.828426001506,7.042828426001506,10424
dataset/parlamento.net,10,45,30,0.6,36.0,7500.009997002053,7.500009997002053,10422
dataset/parlamento.net,10,45,30,0.7,54.00000000000001,7559.049019000668,7.559049019000668,10423
dataset/parlamento.net,10,45,30,0.5,23.0,8424.22338400138,8.42422338400138,10420
dataset/parlamento.net,10,45,30,0.7,54.00000000000001,9451.283021000563,9.451283021000563,10421
dataset/parlamento.net,10,45,30,0.3,11.200000000000001,9455.611607001629,9.455611607001629,10419
dataset/parlamento.net,10,45,30,0.9,90.00000000000001,9472.680680999474,9.472680680999474,10424
dataset/parlamento.net,10,45,30,0.6,36.0,9702.35940999919,9.70235940999919,10420
dataset/parlamento.net,10,45,30,0.7,54.00000000000001,9941.781618999812,9.941781618999812,10422
dataset/parlamento.net,10,45,30,0.8,72.00000000000001,10002.455840000039,10.002455840000039,10423
dataset/parlamento.net,10,45,30,0.1,-3.2333333333333334,10953.069290000712,10.953069290000712,10425
dataset/parlamento.net,10,45,30,0.7,54.0,11195.332769002562,11.195332769002562,10420
dataset/parlamento.net,10,45,30,0.8,72.00000000000003,12000.110681001388,12.000110681001388,10421
dataset/parlamento.net,10,45,30,0.4,16.6,12512.31694300077,12.51231694300077,10419
dataset/parlamento.net,10,45,30,0.8,72.00000000000003,12520.205934000842,12.520205934000842,10422
dataset/parlamento.net,10,45,30,0.9,90.00000000000001,12588.825022001402,12.588825022001402,10423
dataset/parlamento.net,10,45,30,0.8,72.00000000000003,12818.25690900223,12.81825690900223,10420
dataset/parlamento.net,10,45,30,0.2,5.800000000000001,14023.529695001343,14.023529695001343,10425
dataset/parlamento.net,10,45,30,0.1,-9.0,14145.22986600059,14.14522986600059,10424
dataset/parlamento.net,10,45,30,0.5,23.0,14833.673183002247,14.833673183002247,10419
dataset/parlamento.net,10,45,30,0.9,90.00000000000001,14955.379705999803,14.955379705999803,10421
dataset/parlamento.net,10,45,30,0.9,90.00000000000001,15467.480383002112,15.467480383002112,10422
dataset/parlamento.net,10,45,30,0.9,90.00000000000001,15935.695636002492,15.935695636002492,10420
dataset/parlamento.net,10,45,30,0.6,36.00000000000001,16426.649618002557,16.426649618002557,10419
dataset/parlamento.net,10,45,30,0.3,11.200000000000001,17131.48009500219,17.13148009500219,10425
dataset/parlamento.net,10,45,30,0.2,5.800000000000001,17378.564647999156,17.378564647999156,10424
dataset/parlamento.net,10,45,30,0.1,2.0,17618.692072999693,17.618692072999693,10423
dataset/parlamento.net,10,45,30,0.1,2.0,18871.429000002536,18.871429000002536,10421
dataset/parlamento.net,10,45,30,0.7,54.00000000000001,19599.58569900118,19.59958569900118,10419
dataset/parlamento.net,10,45,30,0.1,2.0,20635.173992999626,20.635173992999626,10422
dataset/parlamento.net,10,45,30,0.2,5.800000000000001,21242.32000200209,21.24232000200209,10423
