file_name,vertices,edges,m,lambda,density,time_ms,time_s
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,2359702.227058995,2359.702227058995
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,4693667.026009993,4693.667026009993
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,7023551.2192239985,7023.5512192239985
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,9407267.232205994,9407.267232205995
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,11793602.088375991,11793.602088375992
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,14168968.725432992,14168.968725432991
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,16577073.534572992,16577.07353457299
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,18976086.903291,18976.086903290998
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,21284396.175876,21284.396175875998
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,23611186.910246994,23611.186910246994
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,25902932.015333995,25902.932015333994
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,28203837.027164992,28203.83702716499
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,30509578.98944299,30509.57898944299
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,32814413.17482799,32814.41317482799
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,35140127.38677099,35140.127386771
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,37458298.14663899,37458.29814663899
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,39758551.08826299,39758.55108826299
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,42075692.239307985,42075.69223930799
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,44376611.57910801,44376.61157910801
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,46672089.68957,46672.08968957
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,48957978.930725,48957.978930725
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,51260442.25373199,51260.44225373199
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,53562436.750846,53562.436750846
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,55965432.36331,55965.43236331
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,58245371.445304,58245.371445304
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,60542245.80899299,60542.245808992986
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,62947747.25186698,62947.74725186698
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,65297645.458331,65297.645458331
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,67605870.066118,67605.870066118
dataset/signedZhao.net,50,513,30,0.1,-7.095999999999999,69878550.70470598,69878.55070470598
dataset/signedZhao.net,50,513,30,0.2,-2.991999999999999,72198298.61522101,72198.298615221
dataset/signedZhao.net,50,513,30,0.2,-2.991999999999999,74529246.26773399,74529.246267734
dataset/signedZhao.net,50,513,30,0.2,-2.991999999999999,76860662.162599,76860.662162599
dataset/signedZhao.net,50,513,30,0.2,-2.991999999999999,79183068.282885,79183.068282885
dataset/signedZhao.net,50,513,30,0.2,-2.991999999999999,81476034.39984798,81476.03439984798
dataset/signedZhao.net,50,513,30,0.2,-2.991999999999999,83760963.08042201,83760.963080422
