file_name,vertices,edges,m,lambda,density,time_ms,time_s
* dataset/gahuku.net,16,120,50,0.1,-5.800000000000001,30366.394782999123,30.366394782999123
* dataset/gahuku.net,16,120,50,0.2,-5.800000000000001,59709.22105499994,59.709221054999944
dataset/gahuku.net,16,120,50,0.3,-5.800000000000001,91371.22000699856,91.37122000699856
dataset/gahuku.net,16,120,50,0.4,-5.800000000000001,120296.36865199973,120.29636865199973
dataset/gahuku.net,16,120,50,0.5,-5.800000000000001,149044.9788189999,149.04497881899988
dataset/gahuku.net,16,120,50,0.6,-5.800000000000001,177794.09681899962,177.7940968189996
dataset/gahuku.net,16,120,50,0.7,-5.800000000000001,206543.09198800003,206.54309198800001
dataset/gahuku.net,16,120,50,0.8,-5.800000000000001,235287.77548799917,235.28777548799917
dataset/gahuku.net,16,120,50,0.9,-5.800000000000001,264055.7878239997,264.0557878239997
* dataset/gahuku.net,16,120,50,0.1,-5.800000000000001,292812.1780780002,292.8121780780002
* dataset/gahuku.net,16,120,50,0.2,-5.800000000000001,321540.7185379991,321.54071853799906
dataset/gahuku.net,16,120,50,0.3,-5.800000000000001,350319.26350899995,350.31926350899994
dataset/gahuku.net,16,120,50,0.4,-5.800000000000001,379075.7096399993,379.07570963999933
dataset/gahuku.net,16,120,50,0.5,-5.800000000000001,407856.37855099957,407.8563785509996
dataset/gahuku.net,16,120,50,0.6,-5.800000000000001,436615.3935820003,436.61539358200025
dataset/gahuku.net,16,120,50,0.7,-5.800000000000001,465342.1621609996,465.3421621609996
dataset/gahuku.net,16,120,50,0.8,-5.800000000000001,494075.47900799906,494.0754790079991
dataset/gahuku.net,16,120,50,0.9,-5.800000000000001,522809.7062779998,522.8097062779998
