file_name,vertices,edges,m,lambda,density,time_ms,time_s
dataset/gahuku.net,16,120,10,0.1,-5.800000000000001,11305.18567099989,11.30518567099989
dataset/gahuku.net,16,120,10,0.1,-5.800000000000001,28261.79335299912,28.26179335299912
dataset/gahuku.net,16,120,10,0.2,-4.3500000000000005,44912.53986599986,44.91253986599986
dataset/gahuku.net,16,120,10,0.2,-4.3500000000000005,58740.159231999314,58.740159231999314
dataset/gahuku.net,16,120,10,0.3,6.866666666666666,65781.65934199933,65.78165934199933
dataset/gahuku.net,16,120,10,0.3,9.677777777777777,72683.14043299961,72.68314043299961
dataset/gahuku.net,16,120,10,0.4,14.200000000000001,76825.94912299918,76.82594912299919
dataset/gahuku.net,16,120,10,0.4,16.262857142857143,81467.3317429997,81.4673317429997
dataset/gahuku.net,16,120,10,0.5,24.238095238095237,86598.55972499918,86.59855972499918
dataset/gahuku.net,16,120,10,0.5,24.238095238095237,90781.71956899951,90.7817195689995
dataset/gahuku.net,16,120,10,0.6,36.519999999999996,94184.37440399975,94.18437440399975
dataset/gahuku.net,16,120,10,0.6,36.519999999999996,97317.7909119995,97.31779091199951
dataset/gahuku.net,16,120,10,0.7,55.75000000000001,101522.42357599971,101.52242357599971
dataset/gahuku.net,16,120,10,0.7,55.75,105465.01356699991,105.46501356699991
dataset/gahuku.net,16,120,10,0.8,75.50000000000001,108918.0363939995,108.9180363939995
dataset/gahuku.net,16,120,10,0.8,75.50000000000001,113617.87089799964,113.61787089799964
dataset/gahuku.net,16,120,10,0.9,95.46666666666668,117674.05156199948,117.67405156199948
dataset/gahuku.net,16,120,10,0.9,95.4666666666667,121688.78539899924,121.68878539899924
