file_name,vertices,edges,m,lambda,density,time_ms,time_s,process_id
dataset/parlamento.net,10,45,20,0.3,11.200000000000001,1523.3751740015578,1.5233751740015578,271337
dataset/parlamento.net,10,45,20,0.7,54.00000000000001,1792.3699640086852,1.7923699640086852,271341
dataset/parlamento.net,10,45,20,0.6,36.00000000000001,1887.7958449884318,1.8877958449884318,271340
dataset/parlamento.net,10,45,20,0.4,16.6,2056.756289995974,2.056756289995974,271338
dataset/parlamento.net,10,45,20,0.2,5.800000000000001,2148.006743984297,2.148006743984297,271336
dataset/parlamento.net,10,45,20,0.5,23.0,2260.830212995643,2.260830212995643,271339
dataset/parlamento.net,10,45,20,0.1,2.0,2498.877486999845,2.498877486999845,271335
dataset/parlamento.net,10,45,20,0.8,72.00000000000001,3476.979733008193,3.476979733008193,271341
dataset/parlamento.net,10,45,20,0.4,16.6,3683.9004149951506,3.6839004149951506,271337
dataset/parlamento.net,10,45,20,0.7,54.00000000000001,4100.390829989919,4.100390829989919,271340
dataset/parlamento.net,10,45,20,0.5,23.0,4379.495747009059,4.379495747009059,271338
dataset/parlamento.net,10,45,20,0.2,5.800000000000001,4398.015038983431,4.398015038983431,271335
dataset/parlamento.net,10,45,20,0.6,36.0,4535.555965994718,4.5355559659947176,271339
dataset/parlamento.net,10,45,20,0.3,11.200000000000001,4685.12255200767,4.68512255200767,271336
dataset/parlamento.net,10,45,20,0.9,90.00000000000001,5663.437112991232,5.663437112991232,271341
dataset/parlamento.net,10,45,20,0.3,11.200000000000001,5843.366946006427,5.843366946006427,271335
dataset/parlamento.net,10,45,20,0.8,72.00000000000001,5876.719564985251,5.876719564985251,271340
dataset/parlamento.net,10,45,20,0.5,23.0,6051.575757010141,6.051575757010141,271337
dataset/parlamento.net,10,45,20,0.6,36.0,6208.887204993516,6.208887204993516,271338
dataset/parlamento.net,10,45,20,0.7,54.00000000000001,6301.5006580099,6.3015006580099,271339
dataset/parlamento.net,10,45,20,0.4,16.6,6682.440656994004,6.682440656994004,271336
dataset/parlamento.net,10,45,20,0.9,90.00000000000001,7696.363458002452,7.696363458002452,271340
dataset/parlamento.net,10,45,20,0.6,36.0,7882.958461996168,7.882958461996168,271337
dataset/parlamento.net,10,45,20,0.4,16.6,7962.534001999302,7.962534001999302,271335
dataset/parlamento.net,10,45,20,0.8,72.00000000000001,8078.056463011308,8.078056463011308,271339
dataset/parlamento.net,10,45,20,0.7,54.00000000000001,8347.292452992406,8.347292452992406,271338
dataset/parlamento.net,10,45,20,0.5,23.0,8657.27588100708,8.657275881007081,271336
dataset/parlamento.net,10,45,20,0.1,2.0,9187.672369007487,9.187672369007487,271341
dataset/parlamento.net,10,45,20,0.7,54.00000000000001,10046.107848000247,10.046107848000247,271337
dataset/parlamento.net,10,45,20,0.9,90.00000000000001,10247.682872985024,10.247682872985024,271339
dataset/parlamento.net,10,45,20,0.8,72.00000000000003,10432.185159006622,10.432185159006622,271338
dataset/parlamento.net,10,45,20,0.5,23.0,10688.87569499202,10.68887569499202,271335
dataset/parlamento.net,10,45,20,0.1,-5.923809523809523,11072.713872010354,11.072713872010354,271340
dataset/parlamento.net,10,45,20,0.6,36.0,11285.191008006223,11.285191008006223,271336
dataset/parlamento.net,10,45,20,0.2,5.800000000000001,11505.181362997973,11.505181362997973,271341
dataset/parlamento.net,10,45,20,0.8,72.00000000000001,12034.261232009158,12.034261232009158,271337
dataset/parlamento.net,10,45,20,0.9,90.00000000000001,12394.961201003753,12.394961201003753,271338
dataset/parlamento.net,10,45,20,0.6,36.0,12604.88923601224,12.60488923601224,271335
dataset/parlamento.net,10,45,20,0.7,54.00000000000001,12644.367547996808,12.644367547996808,271336
dataset/parlamento.net,10,45,20,0.2,5.800000000000001,12935.004316997947,12.935004316997947,271340
