file_name,vertices,edges,m,lambda,density,time_ms,time_s,process_id
dataset/gahuku.net,16,120,30,0.5,24.238095238095237,9475.53020700002,9.47553020700002,7717
dataset/gahuku.net,16,120,30,0.7,55.75000000000001,12531.507981000004,12.531507981000004,7719
dataset/gahuku.net,16,120,30,0.6,36.519999999999996,12565.493099999998,12.565493099999998,7718
dataset/gahuku.net,16,120,30,0.4,17.07619047619048,14293.568381000001,14.293568381,7716
dataset/gahuku.net,16,120,30,0.6,36.52,24578.06773200002,24.578067732000022,7717
dataset/gahuku.net,16,120,30,0.3,6.866666666666666,26144.754524000007,26.144754524000007,7715
dataset/gahuku.net,16,120,30,0.7,55.75,26570.063824000015,26.570063824000016,7718
dataset/gahuku.net,16,120,30,0.8,75.50000000000001,27917.039122000006,27.917039122000006,7719
dataset/gahuku.net,16,120,30,0.5,24.23809523809524,31440.03169200002,31.44003169200002,7716
dataset/gahuku.net,16,120,30,0.1,-5.800000000000001,33601.47687100001,33.60147687100002,7713
dataset/gahuku.net,16,120,30,0.7,55.75,38438.733507000026,38.43873350700002,7717
dataset/gahuku.net,16,120,30,0.8,75.50000000000001,39688.87428600001,39.688874286000015,7718
dataset/gahuku.net,16,120,30,0.9,95.4666666666667,41610.500379000005,41.610500379,7719
dataset/gahuku.net,16,120,30,0.4,16.262857142857143,43555.447219,43.555447219,7715
dataset/gahuku.net,16,120,30,0.2,-4.3500000000000005,44157.58639200001,44.15758639200001,7714
dataset/gahuku.net,16,120,30,0.6,36.52,44822.91790100001,44.82291790100001,7716
dataset/gahuku.net,16,120,30,0.8,75.50000000000001,52235.233542,52.235233542,7717
dataset/gahuku.net,16,120,30,0.9,95.4666666666667,53119.788737000024,53.11978873700002,7718
dataset/gahuku.net,16,120,30,0.7,55.75,59273.48956900002,59.27348956900002,7716
dataset/gahuku.net,16,120,30,0.5,24.23809523809524,61594.95194900001,61.594951949000006,7715
dataset/gahuku.net,16,120,30,0.2,3.8000000000000003,63853.43179,63.85343179,7713
dataset/gahuku.net,16,120,30,0.9,95.4666666666667,68851.517782,68.851517782,7717
dataset/gahuku.net,16,120,30,0.3,6.866666666666666,72278.20578500001,72.27820578500001,7714
dataset/gahuku.net,16,120,30,0.6,36.52,72732.687206,72.73268720600001,7715
dataset/gahuku.net,16,120,30,0.8,75.50000000000003,75843.34621600002,75.84334621600001,7716
dataset/gahuku.net,16,120,30,0.3,6.866666666666666,84565.598083,84.565598083,7713
dataset/gahuku.net,16,120,30,0.1,-5.800000000000001,86013.193656,86.013193656,7719
dataset/gahuku.net,16,120,30,0.7,55.75000000000001,86994.81759800002,86.99481759800003,7715
dataset/gahuku.net,16,120,30,0.9,95.4666666666667,90458.69523799999,90.45869523799999,7716
dataset/gahuku.net,16,120,30,0.4,16.262857142857143,90891.62664300003,90.89162664300002,7714
dataset/gahuku.net,16,120,30,0.1,-5.800000000000001,98548.732591,98.548732591,7718
dataset/gahuku.net,16,120,30,0.8,75.50000000000003,103105.76261000003,103.10576261000003,7715
dataset/gahuku.net,16,120,30,0.4,16.262857142857143,103521.03406699999,103.52103406699999,7713
dataset/gahuku.net,16,120,30,0.1,-5.800000000000001,105122.48434200004,105.12248434200004,7717
dataset/gahuku.net,16,120,30,0.5,24.23809523809524,109219.166828,109.219166828,7714
dataset/gahuku.net,16,120,30,0.9,95.46666666666668,117343.407515,117.343407515,7715
dataset/gahuku.net,16,120,30,0.5,24.238095238095237,121481.33214000003,121.48133214000003,7713
dataset/gahuku.net,16,120,30,0.2,0.3345454545454545,121511.957841,121.511957841,7719
dataset/gahuku.net,16,120,30,0.6,36.52,123879.64563200003,123.87964563200003,7714
dataset/gahuku.net,16,120,30,0.6,36.52,135822.614727,135.822614727,7713
dataset/gahuku.net,16,120,30,0.1,-5.800000000000001,136560.482986,136.56048298599998,7716
dataset/gahuku.net,16,120,30,0.7,55.75,137446.210161,137.44621016099998,7714
dataset/gahuku.net,16,120,30,0.3,6.866666666666666,140612.96733999997,140.61296733999998,7719
dataset/gahuku.net,16,120,30,0.2,3.8000000000000003,144605.655058,144.605655058,7718
dataset/gahuku.net,16,120,30,0.2,3.8000000000000003,150622.469951,150.622469951,7717
dataset/gahuku.net,16,120,30,0.7,55.75000000000001,152514.18798699998,152.51418798699999,7713
dataset/gahuku.net,16,120,30,0.8,75.50000000000003,152965.474877,152.965474877,7714
dataset/gahuku.net,16,120,30,0.1,-5.800000000000001,159546.115506,159.546115506,7715
dataset/gahuku.net,16,120,30,0.4,17.076190476190476,159589.65309600002,159.58965309600003,7719
dataset/gahuku.net,16,120,30,0.8,75.50000000000003,165501.12451700002,165.50112451700002,7713
dataset/gahuku.net,16,120,30,0.9,95.4666666666667,167394.91314400002,167.39491314400001,7714
dataset/gahuku.net,16,120,30,0.3,9.774999999999999,172106.741063,172.106741063,7718
dataset/gahuku.net,16,120,30,0.3,9.677777777777777,178094.112196,178.094112196,7717
dataset/gahuku.net,16,120,30,0.5,24.238095238095237,179415.17635200004,179.41517635200003,7719
dataset/gahuku.net,16,120,30,0.2,3.8000000000000003,180380.724613,180.380724613,7716
dataset/gahuku.net,16,120,30,0.9,95.4666666666667,180979.717776,180.979717776,7713
dataset/gahuku.net,16,120,30,0.4,17.07619047619048,193485.441318,193.485441318,7718
dataset/gahuku.net,16,120,30,0.6,36.52,194460.48972100002,194.46048972100002,7719
dataset/gahuku.net,16,120,30,0.4,17.07619047619048,198468.65557600002,198.46865557600003,7717
dataset/gahuku.net,16,120,30,0.2,3.8000000000000003,199957.88584100004,199.95788584100004,7715
