file_name,vertices,edges,m,lambda,density,time_ms,time_s,process_id
dataset/parlamento.net,10,45,20,0.3,11.200000000000001,1195.4416449880227,1.1954416449880227,149832
dataset/parlamento.net,10,45,20,0.6,36.00000000000001,1704.913409994333,1.704913409994333,149835
dataset/parlamento.net,10,45,20,0.7,54.00000000000001,1721.9175109930802,1.7219175109930802,149836
dataset/parlamento.net,10,45,20,0.5,23.0,1896.7727689887397,1.8967727689887397,149834
dataset/parlamento.net,10,45,20,0.2,5.6,1914.9535129981814,1.9149535129981814,149831
dataset/parlamento.net,10,45,20,0.4,16.6,1989.5569299987983,1.9895569299987983,149833
dataset/parlamento.net,10,45,20,0.8,72.00000000000001,2268.179513994255,2.268179513994255,149832
dataset/parlamento.net,10,45,20,0.1,-5.923809523809523,2395.708445998025,2.395708445998025,149830
dataset/parlamento.net,10,45,20,0.9,90.00000000000001,2692.6511749916244,2.6926511749916244,149835
